5 , 16/04/2012 04:41:28:840 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@14e54d8
4 , 16/04/2012 04:41:28:843 , BaseAction , getUserInformation , Exited
4 , 16/04/2012 04:41:28:897 , LoginAction , setMainMenu , Exited
4 , 16/04/2012 04:41:28:898 , LoginAction , getMainMenu , Exited
4 , 16/04/2012 06:14:24:759 , LoginAction , login , Entered
4 , 16/04/2012 06:14:24:800 , Registration , updateLoginInformation , Entered
4 , 16/04/2012 06:14:24:913 , Registration , updateLoginInformation , Exited
4 , 16/04/2012 06:14:24:986 , Login , login , Entered
5 , 16/04/2012 06:14:24:988 , Login , login , User id is AVSYAM0001
4 , 16/04/2012 06:14:25:015 , AdminDAO , getParameter , Entered
5 , 16/04/2012 06:14:25:032 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 16/04/2012 06:14:25:057 , AdminDAO , getParameter , Exited
5 , 16/04/2012 06:14:25:059 , Login , login , Before getting user info
4 , 16/04/2012 06:14:25:062 , AdminDAO , getUserInfo , Entered
5 , 16/04/2012 06:14:25:091 , AdminDAO , getUserInfo , Function executed without error
5 , 16/04/2012 06:14:25:146 , AdminDAO , getUserInfo , Active user
5 , 16/04/2012 06:14:25:148 , AdminDAO , getUserInfo , not first log in
4 , 16/04/2012 06:14:25:157 , AdminDAO , getUserInfo , Exited
5 , 16/04/2012 06:14:25:158 , Login , login , After getting user info
4 , 16/04/2012 06:14:25:159 , AdminDAO , checkValidUserLogin() , Entered!
4 , 16/04/2012 06:14:25:183 , AdminDAO , checkValidUserLogin() , Exited!
5 , 16/04/2012 06:14:25:184 , Login , login , Verify password AVSYAM0001
5 , 16/04/2012 06:14:25:404 , Login , login , firstLogin,passwordReset false false
5 , 16/04/2012 06:14:25:406 , Login , login , last pwd change date, pwd expiry days2012-04-10 15
5 , 16/04/2012 06:14:25:407 , Login , login , addedDate Wed Apr 25 00:00:00 GMT 2012
5 , 16/04/2012 06:14:25:409 , Login , login , pwdChangeExpiry false
4 , 16/04/2012 06:14:25:411 , CommonDAO , updateLastLoginDate , Entered
2 , 16/04/2012 06:14:25:438 , CommonDAO , updateLastLoginDate , Error code and errors are: 0 null
4 , 16/04/2012 06:14:25:442 , CommonDAO , updateLastLoginDate , Exited
4 , 16/04/2012 06:14:25:444 , Login , login , Exited
4 , 16/04/2012 06:14:25:446 , AdminDAO , getPrivileges , Entered
5 , 16/04/2012 06:14:25:471 , AdminDAO , getRoles , privilege REPORTS
5 , 16/04/2012 06:14:25:473 , AdminDAO , getRoles , privilege EXPORT_PERIDIC_INFO
5 , 16/04/2012 06:14:25:477 , AdminDAO , getRoles , privilege EXPORT_CLAIM_FILE
5 , 16/04/2012 06:14:25:479 , AdminDAO , getRoles , privilege FILE_UPLOAD
5 , 16/04/2012 06:14:25:481 , AdminDAO , getRoles , privilege CLAIM_APPROVAL
5 , 16/04/2012 06:14:25:482 , AdminDAO , getRoles , privilege ADD_APPLICATION
5 , 16/04/2012 06:14:25:485 , AdminDAO , getRoles , privilege OTS_REQUEST
5 , 16/04/2012 06:14:25:486 , AdminDAO , getRoles , privilege ALLOCATE_PAYMENTS
5 , 16/04/2012 06:14:25:488 , AdminDAO , getRoles , privilege CLAIM_FIRST_INSTALLMENT
5 , 16/04/2012 06:14:25:489 , AdminDAO , getRoles , privilege UPDATE_REPAYMENT_SCHEDULE
5 , 16/04/2012 06:14:25:493 , AdminDAO , getRoles , privilege PERIODIC_INFO
5 , 16/04/2012 06:14:25:494 , AdminDAO , getRoles , privilege MODIFY_BORROWER_DETAILS
5 , 16/04/2012 06:14:25:506 , AdminDAO , getRoles , privilege CLAIM_SECOND_INSTALLMENT
5 , 16/04/2012 06:14:25:507 , AdminDAO , getRoles , privilege MODIFY_APPLICATION
5 , 16/04/2012 06:14:25:508 , AdminDAO , getRoles , privilege PRINT_PAY_IN_SLIP
5 , 16/04/2012 06:14:25:510 , AdminDAO , getRoles , privilege GENERATE_VOUCHER
5 , 16/04/2012 06:14:25:512 , AdminDAO , getRoles , privilege GENERATE_SFDAN
5 , 16/04/2012 06:14:25:513 , AdminDAO , getRoles , privilege CREATE_CGTSI_USER
5 , 16/04/2012 06:14:25:514 , AdminDAO , getRoles , privilege ENTER_INFLOW_DETAILS
5 , 16/04/2012 06:14:25:516 , AdminDAO , getRoles , privilege IF_REPORT
5 , 16/04/2012 06:14:25:520 , AdminDAO , getRoles , privilege STATEMENT_DETAILS
5 , 16/04/2012 06:14:25:522 , AdminDAO , getRoles , privilege SECURITIZATION
5 , 16/04/2012 06:14:25:523 , AdminDAO , getRoles , privilege ENTER_OUTFLOW_DETAILS
