5 , 25/10/2012 05:35:24:578 , AdminDAO , getRoles , privilege CLAIM_FIRST_INSTALLMENT
5 , 25/10/2012 05:35:24:579 , AdminDAO , getRoles , privilege CLAIM_SECOND_INSTALLMENT
5 , 25/10/2012 05:35:24:581 , AdminDAO , getRoles , privilege OTS_REQUEST
5 , 25/10/2012 05:35:24:586 , AdminDAO , getRoles , privilege OTS_APPROVAL
5 , 25/10/2012 05:35:24:588 , AdminDAO , getRoles , privilege SETTLEMENT
5 , 25/10/2012 05:35:24:593 , AdminDAO , getRoles , privilege EXPORT_CLAIM_FILE
5 , 25/10/2012 05:35:24:595 , AdminDAO , getRoles , privilege LIMIT_SET_UP
5 , 25/10/2012 05:35:24:596 , AdminDAO , getRoles , privilege RISK_CALCULATE_EXPOSUER
5 , 25/10/2012 05:35:24:597 , AdminDAO , getRoles , privilege GENERATE_EXPOSURE_REPORT
5 , 25/10/2012 05:35:24:598 , AdminDAO , getRoles , privilege SET_UPDATE_SUB_SCHEME_PARAMS
5 , 25/10/2012 05:35:24:607 , AdminDAO , getRoles , privilege ENTER_BUDGET_DETAILS
5 , 25/10/2012 05:35:24:609 , AdminDAO , getRoles , privilege ENTER_INFLOW_DETAILS
5 , 25/10/2012 05:35:24:610 , AdminDAO , getRoles , privilege ENTER_OUTFLOW_DETAILS
5 , 25/10/2012 05:35:24:615 , AdminDAO , getRoles , privilege SET_CEILING_FOR_INVESTMENT
5 , 25/10/2012 05:35:24:617 , AdminDAO , getRoles , privilege ENTER_INVESTMENT_DETAILS
5 , 25/10/2012 05:35:24:618 , AdminDAO , getRoles , privilege IF_CALCULATE_EXPOSUER
5 , 25/10/2012 05:35:24:619 , AdminDAO , getRoles , privilege INVESTMENT_FULFILLMENT
5 , 25/10/2012 05:35:24:625 , AdminDAO , getRoles , privilege IF_UPDATE_MASTER_TABLES
5 , 25/10/2012 05:35:24:627 , AdminDAO , getRoles , privilege ADD_INWARD
5 , 25/10/2012 05:35:24:628 , AdminDAO , getRoles , privilege ADD_OUTWARD
5 , 25/10/2012 05:35:24:629 , AdminDAO , getRoles , privilege UPLOAD_DOCUMENTS
5 , 25/10/2012 05:35:24:630 , AdminDAO , getRoles , privilege SEARCH_DOCUMENTS
5 , 25/10/2012 05:35:24:631 , AdminDAO , getRoles , privilege REGISTER_COLLECTING_BANK
5 , 25/10/2012 05:35:24:638 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK_DETAILS
5 , 25/10/2012 05:35:24:640 , AdminDAO , getRoles , privilege REGISTER_MLI
5 , 25/10/2012 05:35:24:642 , AdminDAO , getRoles , privilege ASSIGN_COLLECTING_BANK
5 , 25/10/2012 05:35:24:643 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK
5 , 25/10/2012 05:35:24:644 , AdminDAO , getRoles , privilege DEFINE_ORGANIZATION_STRUCTURE
5 , 25/10/2012 05:35:24:646 , AdminDAO , getRoles , privilege DEACTIVATE_MEMBER
5 , 25/10/2012 05:35:24:647 , AdminDAO , getRoles , privilege ACTIVATE_MEMBER
5 , 25/10/2012 05:35:24:651 , AdminDAO , getRoles , privilege ADD_MODIFY_ROLES
5 , 25/10/2012 05:35:24:653 , AdminDAO , getRoles , privilege CREATE_CGTSI_USER
5 , 25/10/2012 05:35:24:654 , AdminDAO , getRoles , privilege CREATE_MLI_USER
5 , 25/10/2012 05:35:24:660 , AdminDAO , getRoles , privilege MODIFY_USER_DETAILS
5 , 25/10/2012 05:35:24:661 , AdminDAO , getRoles , privilege DEACTIVATE_USER
5 , 25/10/2012 05:35:24:663 , AdminDAO , getRoles , privilege REACTIVATE_USER
5 , 25/10/2012 05:35:24:664 , AdminDAO , getRoles , privilege ASSIGN_MODIFY_ROLES_AND_PRIVILEGES
5 , 25/10/2012 05:35:24:666 , AdminDAO , getRoles , privilege RESET_PASSWORD
5 , 25/10/2012 05:35:24:667 , AdminDAO , getRoles , privilege ENTER_AUDIT_DETAILS
5 , 25/10/2012 05:35:24:668 , AdminDAO , getRoles , privilege REVIEW_AUDIT_DETAILS
5 , 25/10/2012 05:35:24:669 , AdminDAO , getRoles , privilege BROADCAST_MESSAGE
5 , 25/10/2012 05:35:24:676 , AdminDAO , getRoles , privilege UPDATE_MASTER_TABLE
5 , 25/10/2012 05:35:24:677 , AdminDAO , getRoles , privilege REPORTS
5 , 25/10/2012 05:35:24:683 , AdminDAO , getRoles , privilege SECURITIZATION
5 , 25/10/2012 05:35:24:684 , AdminDAO , getRoles , privilege REGISTER_MCGF
5 , 25/10/2012 05:35:24:685 , AdminDAO , getRoles , privilege ADD_PARTICIPATING_BANKS
5 , 25/10/2012 05:35:24:687 , AdminDAO , getRoles , privilege ADD_SSI_MEMBERS
5 , 25/10/2012 05:35:24:688 , AdminDAO , getRoles , privilege ADD_DONOR_DETAILS
5 , 25/10/2012 05:35:24:690 , AdminDAO , getRoles , privilege SET_PARTICIPATING_BANK_LIMIT
5 , 25/10/2012 05:35:24:691 , AdminDAO , getRoles , privilege MAKE_REQUEST
5 , 25/10/2012 05:35:24:692 , AdminDAO , getRoles , privilege TDS_DETAILS
5 , 25/10/2012 05:35:24:693 , AdminDAO , getRoles , privilege FORECASTING_DETAILS
5 , 25/10/2012 05:35:24:695 , AdminDAO , getRoles , privilege PLAN_INVESTMENT
5 , 25/10/2012 05:35:24:699 , AdminDAO , getRoles , privilege PROJECT_EXPECTED_CLAIMS
5 , 25/10/2012 05:35:24:700 , AdminDAO , getRoles , privilege APP_STATUS_WISE_REPORT
5 , 25/10/2012 05:35:24:702 , AdminDAO , getRoles , privilege PERIODIC_INFO_APPROVAL
5 , 25/10/2012 05:35:24:703 , AdminDAO , getRoles , privilege DAY_END_PROCESS
5 , 25/10/2012 05:35:24:706 , AdminDAO , getRoles , privilege STATEMENT_DETAILS
5 , 25/10/2012 05:35:24:707 , AdminDAO , getRoles , privilege IF_REPORT
5 , 25/10/2012 05:35:24:708 , AdminDAO , getRoles , privilege APP_SPECIAL_MESSAGE
5 , 25/10/2012 05:35:24:709 , AdminDAO , getRoles , privilege UPDATE_RECOVERY
4 , 25/10/2012 05:35:24:724 , AdminDAO , getPrivileges , Exited
4 , 25/10/2012 05:35:24:729 , AdminDAO , getAlerts , Entered
5 , 25/10/2012 05:35:24:744 , AdminDAO , getAlerts , error code and error 0 null
4 , 25/10/2012 05:35:24:766 , AdminDAO , getAlerts , Exited
