4 , 11/11/2008 18:16:58:594 , ApplicationDAO , getPartApplication , Exited. Memory : 29995112
4 , 11/11/2008 18:16:58:594 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:641 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:657 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:657 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:58:657 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:58:657 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:657 , ApplicationDAO , getPartApplication , Entered. Memory : 29596048
4 , 11/11/2008 18:16:58:703 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:703 , ApplicationDAO , getPartApplication , Exited. Memory : 15628616
4 , 11/11/2008 18:16:58:703 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:750 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:766 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:766 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:58:766 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:58:766 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:766 , ApplicationDAO , getPartApplication , Entered. Memory : 15207352
4 , 11/11/2008 18:16:58:782 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:797 , ApplicationDAO , getPartApplication , Exited. Memory : 13668848
4 , 11/11/2008 18:16:58:797 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:844 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:844 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:844 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:58:844 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:58:844 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:844 , ApplicationDAO , getPartApplication , Entered. Memory : 13243496
4 , 11/11/2008 18:16:58:875 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:875 , ApplicationDAO , getPartApplication , Exited. Memory : 11701592
4 , 11/11/2008 18:16:58:875 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:58:922 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:58:922 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:58:922 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:58:922 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:58:922 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:58:922 , ApplicationDAO , getPartApplication , Entered. Memory : 11328720
4 , 11/11/2008 18:16:58:954 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:58:954 , ApplicationDAO , getPartApplication , Exited. Memory : 9775872
4 , 11/11/2008 18:16:58:954 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:032 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:047 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:047 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:15000.0
4 , 11/11/2008 18:16:59:047 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:15000.0
4 , 11/11/2008 18:16:59:047 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:047 , ApplicationDAO , getPartApplication , Entered. Memory : 16720968
4 , 11/11/2008 18:16:59:063 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:079 , ApplicationDAO , getPartApplication , Exited. Memory : 15181976
4 , 11/11/2008 18:16:59:079 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:125 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:125 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:125 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:109770.0
4 , 11/11/2008 18:16:59:125 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:109770.0
4 , 11/11/2008 18:16:59:125 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:125 , ApplicationDAO , getPartApplication , Entered. Memory : 14752696
4 , 11/11/2008 18:16:59:157 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:157 , ApplicationDAO , getPartApplication , Exited. Memory : 13228512
4 , 11/11/2008 18:16:59:157 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:219 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:219 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:219 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:14000.0
4 , 11/11/2008 18:16:59:219 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:14000.0
4 , 11/11/2008 18:16:59:219 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:219 , ApplicationDAO , getPartApplication , Entered. Memory : 12855976
4 , 11/11/2008 18:16:59:251 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:251 , ApplicationDAO , getPartApplication , Exited. Memory : 11325264
4 , 11/11/2008 18:16:59:251 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:297 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:313 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:313 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:74700.0
4 , 11/11/2008 18:16:59:313 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:74700.0
4 , 11/11/2008 18:16:59:313 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:313 , ApplicationDAO , getPartApplication , Entered. Memory : 10917688
4 , 11/11/2008 18:16:59:344 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:360 , ApplicationDAO , getPartApplication , Exited. Memory : 9052240
4 , 11/11/2008 18:16:59:360 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:407 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:407 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:407 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:16000.0
4 , 11/11/2008 18:16:59:407 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:16000.0
4 , 11/11/2008 18:16:59:407 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:407 , ApplicationDAO , getPartApplication , Entered. Memory : 8653120
4 , 11/11/2008 18:16:59:438 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:438 , ApplicationDAO , getPartApplication , Exited. Memory : 7122840
4 , 11/11/2008 18:16:59:438 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:485 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:485 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:485 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:59:485 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:59:501 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:501 , ApplicationDAO , getPartApplication , Entered. Memory : 6714904
4 , 11/11/2008 18:16:59:516 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:516 , ApplicationDAO , getPartApplication , Exited. Memory : 5163856
4 , 11/11/2008 18:16:59:516 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:579 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:579 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:579 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:59:579 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:59:579 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:579 , ApplicationDAO , getPartApplication , Entered. Memory : 4783280
4 , 11/11/2008 18:16:59:610 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:610 , ApplicationDAO , getPartApplication , Exited. Memory : 3249832
4 , 11/11/2008 18:16:59:610 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:657 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:657 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:657 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:95000.0
4 , 11/11/2008 18:16:59:657 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:95000.0
4 , 11/11/2008 18:16:59:657 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:657 , ApplicationDAO , getPartApplication , Entered. Memory : 2823920
4 , 11/11/2008 18:16:59:704 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:704 , ApplicationDAO , getPartApplication , Exited. Memory : 6623360
4 , 11/11/2008 18:16:59:704 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:751 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:766 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:766 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:15000.0
4 , 11/11/2008 18:16:59:766 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:15000.0
4 , 11/11/2008 18:16:59:766 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:766 , ApplicationDAO , getPartApplication , Entered. Memory : 6221928
4 , 11/11/2008 18:16:59:782 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:798 , ApplicationDAO , getPartApplication , Exited. Memory : 4692320
4 , 11/11/2008 18:16:59:798 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:876 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:876 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:876 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:50000.0
4 , 11/11/2008 18:16:59:876 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:50000.0
4 , 11/11/2008 18:16:59:876 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:876 , ApplicationDAO , getPartApplication , Entered. Memory : 2461280
4 , 11/11/2008 18:16:59:923 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:16:59:923 , ApplicationDAO , getPartApplication , Exited. Memory : 7412352
4 , 11/11/2008 18:16:59:923 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:16:59:970 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:16:59:985 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:16:59:985 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:16:59:985 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:16:59:985 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:16:59:985 , ApplicationDAO , getPartApplication , Entered. Memory : 7005264
4 , 11/11/2008 18:17:00:001 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:17:00:016 , ApplicationDAO , getPartApplication , Exited. Memory : 5464128
4 , 11/11/2008 18:17:00:016 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:17:00:063 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:17:00:063 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:17:00:063 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:44120.0
4 , 11/11/2008 18:17:00:063 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:44120.0
4 , 11/11/2008 18:17:00:063 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:17:00:063 , ApplicationDAO , getPartApplication , Entered. Memory : 5026080
4 , 11/11/2008 18:17:00:095 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:17:00:095 , ApplicationDAO , getPartApplication , Exited. Memory : 3467864
4 , 11/11/2008 18:17:00:095 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:17:00:142 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:17:00:142 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:17:00:142 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:20000.0
4 , 11/11/2008 18:17:00:142 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:20000.0
4 , 11/11/2008 18:17:00:142 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:17:00:142 , ApplicationDAO , getPartApplication , Entered. Memory : 3100752
4 , 11/11/2008 18:17:00:188 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:17:00:188 , ApplicationDAO , getPartApplication , Exited. Memory : 7380712
4 , 11/11/2008 18:17:00:188 , ApplicationProcessor , getPartApplication , Exited
4 , 11/11/2008 18:17:00:251 , AdminDAO , getParameter , Entered
4 , 11/11/2008 18:17:00:251 , AdminDAO , getParameter , Exited
4 , 11/11/2008 18:17:00:251 , ApplicationProcessor , calApprovedAmount , calApprovedAmt:14000.0
4 , 11/11/2008 18:17:00:251 , ApplicationProcessor , calApprovedAmount , calApprovedAmt 1:14000.0
4 , 11/11/2008 18:17:00:251 , ApplicationProcessor , getPartApplication , Entered
4 , 11/11/2008 18:17:00:251 , ApplicationDAO , getPartApplication , Entered. Memory : 6981568
4 , 11/11/2008 18:17:00:282 , ApplicationDAO , getPartApplication , values of ssi object set successfully....
4 , 11/11/2008 18:17:00:282 , ApplicationDAO , getPartApplication , Exited. Memory : 5451312
