4 , 06/11/2008 16:04:33:012 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200204463TC
4 , 06/11/2008 16:04:33:012 , AdminDAO , getParameter , Entered
4 , 06/11/2008 16:04:33:012 , AdminDAO , getParameter , Exited
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , application.getScheme() CGFSI
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 16:04:33 IST 2008
4 , 06/11/2008 16:04:33:012 , RpDAO , calculateServiceFee , CGPAN = CG200204463TC
4 , 06/11/2008 16:04:33:012 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , CGPAN = CG200204463TC
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 16:04:33 IST 2008
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , setting CGPAN = CG200204463TC
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 16:04:33:012 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:33:059 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:33:059 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 16:04:33:059 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200204463TC as on Mon Mar 31 16:04:33 IST 2008
4 , 06/11/2008 16:04:33:059 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 16:04:33:059 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 16:04:33:059 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 16:04:33:059 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 16:04:33:059 , RpDAO , getAmountOutstanding , CGPAN = CG200204463TC
4 , 06/11/2008 16:04:33:059 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 16:04:33:091 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 16:04:33:091 , RpDAO , getAmountOutstanding , Outstanding amount = 25000.0
4 , 06/11/2008 16:04:33:091 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 16:04:33:091 , RpDAO , calculateServiceFee , Amount Outstanding = 25000.0
4 , 06/11/2008 16:04:33:091 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 16:04:33:091 , RpDAO , calculateServiceFee , After getting approved amount:25000.0
4 , 06/11/2008 16:04:33:106 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , Service Fee Amount = 125.0
4 , 06/11/2008 16:04:33:106 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 16:04:33:106 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 16:04:33:106 , RpDAO , getGuarStartDate , application.getCgpan() :CG200204463TC
4 , 06/11/2008 16:04:33:106 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , Days = 1576
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , Service Fee Amount = 125.0
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 16:04:33 IST 2007
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 16:04:33 IST 2008
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200204463TC
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200100673TC
4 , 06/11/2008 16:04:33:106 , AdminDAO , getParameter , Entered
4 , 06/11/2008 16:04:33:106 , AdminDAO , getParameter , Exited
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , application.getScheme() CGFSI
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 16:04:33 IST 2008
4 , 06/11/2008 16:04:33:106 , RpDAO , calculateServiceFee , CGPAN = CG200100673TC
4 , 06/11/2008 16:04:33:106 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , CGPAN = CG200100673TC
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 16:04:33 IST 2008
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , setting CGPAN = CG200100673TC
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 16:04:33:106 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:33:153 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 16:04:33:153 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 16:04:33:153 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200100673TC as on Mon Mar 31 16:04:33 IST 2008
4 , 06/11/2008 16:04:33:153 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 16:04:33:153 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 16:04:33:153 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 16:04:33:169 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 16:04:33:169 , RpDAO , getAmountOutstanding , CGPAN = CG200100673TC
4 , 06/11/2008 16:04:33:169 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 16:04:33:184 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 16:04:33:184 , RpDAO , getAmountOutstanding , Outstanding amount = 20000.0
4 , 06/11/2008 16:04:33:184 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 16:04:33:184 , RpDAO , calculateServiceFee , Amount Outstanding = 20000.0
4 , 06/11/2008 16:04:33:184 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 16:04:33:184 , RpDAO , calculateServiceFee , After getting approved amount:20000.0
4 , 06/11/2008 16:04:33:200 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 16:04:33:200 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 16:04:33:200 , RpDAO , calculateServiceFee , Service Fee Amount = 100.0
4 , 06/11/2008 16:04:33:200 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 16:04:33:200 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 16:04:33:200 , RpDAO , getGuarStartDate , application.getCgpan() :CG200100673TC
4 , 06/11/2008 16:04:33:200 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 16:04:33:200 , RpDAO , calculateServiceFee , Days = 2510
