4 , 12/11/2008 11:37:55:763 , MCGSDAO , getMcgsDetails , Exited
4 , 12/11/2008 11:37:55:763 , MCGSProcessor , getMcgsDetails , Exited
4 , 12/11/2008 11:37:55:763 , ApplicationDAO , getApplication , Exited from appDAO successfully....
4 , 12/11/2008 11:37:55:779 , ApplicationDAO , getApplication , Exited. Memory : 2035608
4 , 12/11/2008 11:37:55:779 , ApplicationProcessor , getApplication , Exited
4 , 12/11/2008 11:37:55:779 , ApplicationProcessingAction , afterApprovalApps , app ref no :2310060179
4 , 12/11/2008 11:37:55:779 , ApplicationProcessingAction , afterApprovalApps , status:
4 , 12/11/2008 11:37:55:779 , ApplicationProcessor , getApplication , Entered
4 , 12/11/2008 11:37:55:779 , ApplicationDAO , getApplication , Entered. Memory : 2018040
4 , 12/11/2008 11:37:55:873 , ApplicationDAO , getApplication , values of term loan object set successfully....
2 , 12/11/2008 11:37:55:888 , ApplicationDAO , getApplication , Working Interest type:T
4 , 12/11/2008 11:37:55:904 , ApplicationDAO , getApplication , values of working capital object set successfully....
4 , 12/11/2008 11:37:55:904 , MCGSProcessor , getMcgsDetails , Entered
4 , 12/11/2008 11:37:55:904 , MCGSDAO , getMcgsDetails , Entered
4 , 12/11/2008 11:37:55:920 , MCGSDAO , getMcgsDetails , approved Amount :0.0
4 , 12/11/2008 11:37:55:920 , MCGSDAO , getMcgsDetails , Exited
4 , 12/11/2008 11:37:55:920 , MCGSProcessor , getMcgsDetails , Exited
4 , 12/11/2008 11:37:55:920 , ApplicationDAO , getApplication , Exited from appDAO successfully....
4 , 12/11/2008 11:37:55:920 , ApplicationDAO , getApplication , Exited. Memory : 4674784
4 , 12/11/2008 11:37:55:920 , ApplicationProcessor , getApplication , Exited
4 , 12/11/2008 11:37:55:920 , ApplicationProcessingAction , afterApprovalApps , app ref no :2310060182
4 , 12/11/2008 11:37:55:920 , ApplicationProcessingAction , afterApprovalApps , status:
4 , 12/11/2008 11:37:55:920 , ApplicationProcessor , getApplication , Entered
4 , 12/11/2008 11:37:55:920 , ApplicationDAO , getApplication , Entered. Memory : 4638216
4 , 12/11/2008 11:37:55:982 , ApplicationDAO , getApplication , values of term loan object set successfully....
