4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , Amount Outstanding = 10000.0
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , After getting approved amount:10000.0
4 , 06/11/2008 15:54:49:434 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:54:49:434 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:54:49:434 , RpDAO , getServiceRateForRSF , Entered
4 , 06/11/2008 15:54:49:434 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:54:49:434 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:434 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:54:49:434 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:54:49:434 , RpDAO , getGuarStartDate , application.getCgpan() :CG200303113TC
4 , 06/11/2008 15:54:49:434 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , Days = 1576
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:54:49 IST 2007
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200303113TC
4 , 06/11/2008 15:54:49:434 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200303128TC
4 , 06/11/2008 15:54:49:434 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:54:49:450 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:54:49:450 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:54:49:450 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:54:49:450 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:54:49:450 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:54:49:450 , RpDAO , calculateServiceFee , Current Date = 6
