4 , 04/04/2012 09:29:17:622 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:623 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:624 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:627 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:628 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:629 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:630 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:631 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:632 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:638 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:639 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:640 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:641 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:642 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:643 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:644 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:645 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:646 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:647 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:655 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:656 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:658 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:659 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:660 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
4 , 04/04/2012 09:29:17:661 , ApplicationDAO , checkDuplicate , approvedAppsResultsoracle.jdbc.driver.OracleResultSetImpl@c18c31
