5 , 10/05/2012 10:05:37:406 , AdminDAO , getRoles , privilege PLAN_INVESTMENT
5 , 10/05/2012 10:05:37:410 , AdminDAO , getRoles , privilege SHIFT_CGPAN_OR_BORROWER
5 , 10/05/2012 10:05:37:411 , AdminDAO , getRoles , privilege UPLOAD_DOCUMENTS
5 , 10/05/2012 10:05:37:412 , AdminDAO , getRoles , privilege GENERATE_CLDAN
5 , 10/05/2012 10:05:37:413 , AdminDAO , getRoles , privilege GENERATE_SHORT_DAN
5 , 10/05/2012 10:05:37:414 , AdminDAO , getRoles , privilege ADD_INWARD
5 , 10/05/2012 10:05:37:415 , AdminDAO , getRoles , privilege ASSIGN_COLLECTING_BANK
5 , 10/05/2012 10:05:37:416 , AdminDAO , getRoles , privilege RE_ALLOCATE_PAYMENTS
5 , 10/05/2012 10:05:37:417 , AdminDAO , getRoles , privilege DAY_END_PROCESS
5 , 10/05/2012 10:05:37:418 , AdminDAO , getRoles , privilege ADD_SSI_MEMBERS
5 , 10/05/2012 10:05:37:420 , AdminDAO , getRoles , privilege APPROVE_INELIGIBLE_APPLICATION
5 , 10/05/2012 10:05:37:424 , AdminDAO , getRoles , privilege APP_SPECIAL_MESSAGE
5 , 10/05/2012 10:05:37:425 , AdminDAO , getRoles , privilege DEACTIVATE_USER
5 , 10/05/2012 10:05:37:426 , AdminDAO , getRoles , privilege UPDATE_MASTER_TABLE
5 , 10/05/2012 10:05:37:428 , AdminDAO , getRoles , privilege TDS_DETAILS
5 , 10/05/2012 10:05:37:429 , AdminDAO , getRoles , privilege PROJECT_EXPECTED_CLAIMS
5 , 10/05/2012 10:05:37:430 , AdminDAO , getRoles , privilege FORECASTING_DETAILS
5 , 10/05/2012 10:05:37:431 , AdminDAO , getRoles , privilege DEACTIVATE_MEMBER
5 , 10/05/2012 10:05:37:432 , AdminDAO , getRoles , privilege RESET_PASSWORD
5 , 10/05/2012 10:05:37:433 , AdminDAO , getRoles , privilege SET_UPDATE_SUB_SCHEME_PARAMS
5 , 10/05/2012 10:05:37:434 , AdminDAO , getRoles , privilege RISK_CALCULATE_EXPOSUER
5 , 10/05/2012 10:05:37:438 , AdminDAO , getRoles , privilege SETTLEMENT
5 , 10/05/2012 10:05:37:439 , AdminDAO , getRoles , privilege UPDATE_RECOVERY
5 , 10/05/2012 10:05:37:440 , AdminDAO , getRoles , privilege SET_CEILING_FOR_INVESTMENT
5 , 10/05/2012 10:05:37:442 , AdminDAO , getRoles , privilege REGISTER_COLLECTING_BANK
5 , 10/05/2012 10:05:37:443 , AdminDAO , getRoles , privilege WAIVE_SHORT_AMOUNTS
5 , 10/05/2012 10:05:37:444 , AdminDAO , getRoles , privilege OTS_APPROVAL
5 , 10/05/2012 10:05:37:445 , AdminDAO , getRoles , privilege ADD_OUTWARD
5 , 10/05/2012 10:05:37:446 , AdminDAO , getRoles , privilege ADD_PARTICIPATING_BANKS
5 , 10/05/2012 10:05:37:447 , AdminDAO , getRoles , privilege GENERATE_EXPOSURE_REPORT
5 , 10/05/2012 10:05:37:448 , AdminDAO , getRoles , privilege PERIODIC_INFO_APPROVAL
5 , 10/05/2012 10:05:37:452 , AdminDAO , getRoles , privilege BROADCAST_MESSAGE
5 , 10/05/2012 10:05:37:453 , AdminDAO , getRoles , privilege ENTER_INVESTMENT_DETAILS
5 , 10/05/2012 10:05:37:454 , AdminDAO , getRoles , privilege APPLICATION_RE_APPROVAL
5 , 10/05/2012 10:05:37:455 , AdminDAO , getRoles , privilege ENTER_AUDIT_DETAILS
5 , 10/05/2012 10:05:37:456 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK
5 , 10/05/2012 10:05:37:459 , AdminDAO , getRoles , privilege MODIFY_USER_DETAILS
5 , 10/05/2012 10:05:37:460 , AdminDAO , getRoles , privilege APPLICATION_APPROVAL
5 , 10/05/2012 10:05:37:461 , AdminDAO , getRoles , privilege ADD_DONOR_DETAILS
4 , 10/05/2012 10:05:37:474 , AdminDAO , getPrivileges , Exited
4 , 10/05/2012 10:05:37:475 , AdminDAO , getAlerts , Entered
5 , 10/05/2012 10:05:37:500 , AdminDAO , getAlerts , error code and error 0 null
4 , 10/05/2012 10:05:37:520 , AdminDAO , getAlerts , Exited
4 , 10/05/2012 10:05:37:523 , AdminDAO , getMessage , Entered
5 , 10/05/2012 10:05:37:548 , AdminDAO , getMessage , Error code and error 0 null
5 , 10/05/2012 10:05:37:551 , AdminDAO , getMessage , message is Demand for ASF 2012(for cases live & expired as on 31/03/2012 including DC (Handicraft cases)) has been generated. The demand for ASF 2012 is for the period April 01, 2011 to March 31, 2012 (366 days). Demand list may be viewed by following the path: Report & MIS -> ASF Summary Details -> Enter date from 17/04/2012 to 21/04/2012 -> For unitwise details click on hyperlinked ¿MLI ID¿. Demand for closed cases where payment not remitted may also be viewed by following the same path by changing date from 18/04/2011 to 31/03/2012 (¿not appropriated¿ cases only).A consolidate demand ASF 2012 (including Arrears of ASF 2011 & ASF 2010, if any) has been forwarded to respective Head Offices of MLIs to make consolidate payment on/before May 31,2012. Please note that request for modification / transfer of cases shall not be entertained till receipt of ASF 2012.
4 , 10/05/2012 10:05:37:557 , AdminDAO , getMessage , Exited
5 , 10/05/2012 10:05:37:559 , LoginAction , login , message Demand for ASF 2012(for cases live & expired as on 31/03/2012 including DC (Handicraft cases)) has been generated. The demand for ASF 2012 is for the period April 01, 2011 to March 31, 2012 (366 days). Demand list may be viewed by following the path: Report & MIS -> ASF Summary Details -> Enter date from 17/04/2012 to 21/04/2012 -> For unitwise details click on hyperlinked ¿MLI ID¿. Demand for closed cases where payment not remitted may also be viewed by following the same path by changing date from 18/04/2011 to 31/03/2012 (¿not appropriated¿ cases only).A consolidate demand ASF 2012 (including Arrears of ASF 2011 & ASF 2010, if any) has been forwarded to respective Head Offices of MLIs to make consolidate payment on/before May 31,2012. Please note that request for modification / transfer of cases shall not be entertained till receipt of ASF 2012.
5 , 10/05/2012 10:05:37:562 , LoginAction , login , bank id 0000
5 , 10/05/2012 10:05:37:565 , LoginAction , login , zone id 0000
5 , 10/05/2012 10:05:37:568 , LoginAction , login , branch id 0000
5 , 10/05/2012 10:05:37:571 , LoginAction , login , bank Name 
5 , 10/05/2012 10:05:37:573 , LoginAction , login , zone name ---
5 , 10/05/2012 10:05:37:576 , LoginAction , login , branch name ---
5 , 10/05/2012 10:05:37:577 , LoginAction , login , short name CGTSI
4 , 10/05/2012 10:05:37:580 , RegistrationDAO , getMemberDetails , Entered
