4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : Branch Id=0000
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : Guarantee Fee=2000.0
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : Approved Amount=80000.0
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : district=AZAMGARH
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : State=UTTAR PRADESH
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : SocialCategory =null
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : sex=M
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : CGPAN=CG200102255TC
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : Bank Id=0005
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : Zone Id=0002
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : Branch Id=0000
4 , 06/11/2008 16:04:12:559 , ApplicationDAO , getLiveApplications , Inside While : Guarantee Fee=1000.0
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Approved Amount=40000.0
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : district=AZAMGARH
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : State=UTTAR PRADESH
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : SocialCategory =null
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : sex=M
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : CGPAN=CG200303124TC
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Bank Id=0005
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Zone Id=0002
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Branch Id=0000
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Guarantee Fee=250.0
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Approved Amount=10000.0
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : district=AZAMGARH
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : State=UTTAR PRADESH
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : SocialCategory =null
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : sex=M
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : CGPAN=CG200304192WC
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Bank Id=0005
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Zone Id=0002
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Branch Id=0000
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Guarantee Fee=15000.0
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Approved Amount=600000.0
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : district=AZAMGARH
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : State=UTTAR PRADESH
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : SocialCategory =null
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : sex=M
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : CGPAN=CG200404927TC
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Bank Id=0005
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Zone Id=0002
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Branch Id=0000
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Guarantee Fee=2500.0
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : Approved Amount=100000.0
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : district=AZAMGARH
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : State=UTTAR PRADESH
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : SocialCategory =null
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : sex=M
4 , 06/11/2008 16:04:12:575 , ApplicationDAO , getLiveApplications , Inside While : CGPAN=CG200404932TC
