4 , 06/11/2008 15:34:45:762 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200303121TC as on Mon Mar 31 15:34:45 IST 2008
4 , 06/11/2008 15:34:45:762 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:34:45:762 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:34:45:762 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:34:45:762 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:34:45:762 , RpDAO , getAmountOutstanding , CGPAN = CG200303121TC
4 , 06/11/2008 15:34:45:762 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:34:45:794 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:34:45:794 , RpDAO , getAmountOutstanding , Outstanding amount = 10000.0
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , Amount Outstanding = 10000.0
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , After getting approved amount:10000.0
4 , 06/11/2008 15:34:45:794 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:34:45:794 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:34:45:794 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:34:45:794 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:34:45:794 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:34:45:794 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:34:45:794 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:34:45:794 , RpDAO , getGuarStartDate , application.getCgpan() :CG200303121TC
4 , 06/11/2008 15:34:45:794 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , Days = 1576
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:34:45 IST 2007
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:34:45 IST 2008
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200303121TC
4 , 06/11/2008 15:34:45:794 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200303124TC
4 , 06/11/2008 15:34:45:794 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:34:45:809 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:34:45:809 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:34:45:809 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:34:45:809 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:34:45:809 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:34:45:809 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 15:34:45:809 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:34:45 IST 2008
4 , 06/11/2008 15:34:45:809 , RpDAO , calculateServiceFee , CGPAN = CG200303124TC
4 , 06/11/2008 15:34:45:809 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , CGPAN = CG200303124TC
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:34:45 IST 2008
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , setting CGPAN = CG200303124TC
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:34:45:809 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
