5 , 09/08/2012 06:12:12:641 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:12:12:644 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:12:12:649 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:12:12:654 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:12:12:657 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:12:18:666 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:12:18:669 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:12:18:671 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:12:18:677 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:12:18:680 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:12:18:686 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:12:18:689 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:12:18:692 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:12:20:623 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:12:20:626 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:12:20:631 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:12:20:635 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:12:20:638 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:12:20:642 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:12:20:647 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:12:20:649 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:12:22:064 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:12:22:067 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:12:22:070 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:12:22:073 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:12:22:078 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:12:22:081 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:12:22:085 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:12:22:087 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:23:11:267 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:23:11:270 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:23:11:271 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:23:11:273 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:23:11:274 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:23:11:276 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:23:11:277 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:23:11:278 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:43:51:551 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:43:51:554 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:43:51:558 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:43:51:561 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:43:51:564 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:43:51:567 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:43:51:568 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:43:51:570 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:43:52:848 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:43:52:853 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:43:52:856 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:43:52:858 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:43:52:859 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:43:52:861 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:43:52:863 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:43:52:865 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:43:54:937 , ApplicationProcessingAction , getTCMliInfo , Entered
4 , 09/08/2012 06:43:54:964 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:43:54:966 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:43:54:967 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:43:54:969 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:43:54:971 , ApplicationProcessingAction , getTCMliInfo , Exited
4 , 09/08/2012 06:43:56:696 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:43:56:704 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:43:56:708 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:43:56:711 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:43:56:714 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:43:56:718 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:43:56:722 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:43:56:725 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:44:01:027 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:44:01:033 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:44:01:036 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:01:044 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:01:047 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:01:049 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:01:050 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:44:01:053 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:44:02:349 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:44:02:354 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:44:02:363 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:02:366 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:02:368 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:02:372 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:02:374 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:44:02:376 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:44:04:111 , ApplicationProcessingAction , getTCMliInfo , Entered
4 , 09/08/2012 06:44:04:136 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:04:138 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:04:142 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:04:143 , BaseAction , getUserInformation , Exited
