4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Oustanding Amount :315000.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Approved Application Amount :315000.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Claim Applied Amount :339777.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Recovered Amount :1051.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Default Amount :315000.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 13/11/2008 16:42:19:113 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 13/11/2008 16:42:19:113 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Oustanding Amount :2479782.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Approved Application Amount :2479782.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Claim Applied Amount :2479782.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Recovered Amount :0.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Default Amount :2479782.0
4 , 13/11/2008 16:42:19:113 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 13/11/2008 16:42:19:113 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 13/11/2008 16:42:19:129 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 13/11/2008 16:42:19:129 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Oustanding Amount :125000.0
4 , 13/11/2008 16:42:19:129 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Approved Application Amount :300000.0
4 , 13/11/2008 16:42:19:129 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Claim Applied Amount :185000.0
4 , 13/11/2008 16:42:19:129 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Recovered Amount :0.0
4 , 13/11/2008 16:42:19:129 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Default Amount :125000.0
4 , 13/11/2008 16:42:19:129 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 13/11/2008 16:42:19:129 , ClaimsProcessor , getClaimProcessingDetails() , Exited
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , ##################
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , memId :000400100000
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , claimrefnumber :CL05TN010006601
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , clmStatus :FW
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , forwardedToUser :RSUKU0001
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , ###################
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , loggedUsr :ADMIN
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , ##################
4 , 13/11/2008 16:42:19:129 , ClaimAction , displayClaimApproval() , memId :002900080000
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , claimrefnumber :CL06AS040001601
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , clmStatus :FW
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , forwardedToUser :RATRATN0001
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , ###################
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , loggedUsr :ADMIN
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , ##################
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , memId :003800100000
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , claimrefnumber :CL08KE060300501
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , clmStatus :NE
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , forwardedToUser :null
4 , 13/11/2008 16:42:19:144 , ClaimAction , displayClaimApproval() , ###################
4 , 13/11/2008 16:42:19:144 , ClaimsProcessor , getClaimProcessingDetails() , Entered
4 , 13/11/2008 16:42:19:144 , CPDAO , getClaimProcessingDetails() , Entered!
4 , 13/11/2008 16:42:19:160 , CPDAO , getClaimProcessingDetails() , Exited!
4 , 13/11/2008 16:42:19:160 , AdminDAO , getParameter , Entered
4 , 13/11/2008 16:42:19:160 , AdminDAO , getParameter , Exited
4 , 13/11/2008 16:42:19:160 , ClaimsProcessor , getClaimProcessingDetails() , Exited
4 , 13/11/2008 16:42:19:160 , ClaimAction , displayClaimApproval() , Exited
4 , 13/11/2008 17:07:40:175 , LogoutAction , logout , Entered
4 , 13/11/2008 17:07:40:175 , LogoutAction , logout , Exited
4 , 13/11/2008 17:15:54:526 , LoginAction , login , Entered
4 , 13/11/2008 17:15:54:854 , Login , login , Entered
4 , 13/11/2008 17:15:54:854 , AdminDAO , getParameter , Entered
4 , 13/11/2008 17:15:54:885 , AdminDAO , getParameter , Exited
4 , 13/11/2008 17:15:54:885 , AdminDAO , getUserInfo , Entered
4 , 13/11/2008 17:15:54:916 , AdminDAO , getUserInfo , Exited
4 , 13/11/2008 17:15:54:916 , AdminDAO , checkValidUserLogin() , Entered!
4 , 13/11/2008 17:15:54:916 , AdminDAO , checkValidUserLogin() , Exited!
4 , 13/11/2008 17:15:55:259 , CommonDAO , updateLastLoginDate , Entered
2 , 13/11/2008 17:15:55:274 , CommonDAO , updateLastLoginDate , Error code and errors are: 0 null
4 , 13/11/2008 17:15:55:274 , CommonDAO , updateLastLoginDate , Exited
4 , 13/11/2008 17:15:55:274 , Login , login , Exited
4 , 13/11/2008 17:15:55:274 , AdminDAO , getPrivileges , Entered
4 , 13/11/2008 17:15:55:306 , AdminDAO , getPrivileges , Exited
4 , 13/11/2008 17:15:55:306 , AdminDAO , getAlerts , Entered
4 , 13/11/2008 17:15:55:321 , AdminDAO , getAlerts , Exited
4 , 13/11/2008 17:15:55:321 , AdminDAO , getMessage , Entered
4 , 13/11/2008 17:15:55:337 , AdminDAO , getMessage , Exited
4 , 13/11/2008 17:15:55:337 , RegistrationDAO , getMemberDetails , Entered
4 , 13/11/2008 17:15:55:337 , RegistrationDAO , getMemberDetails , Exited
4 , 13/11/2008 17:15:55:337 , LoginAction , login , Exited
4 , 13/11/2008 17:15:57:020 , LoginAction , getMainMenu , Entered
4 , 13/11/2008 17:15:57:020 , LoginAction , setMainMenu , Entered
4 , 13/11/2008 17:15:57:020 , BaseAction , getUserInformation , Entered
4 , 13/11/2008 17:15:57:020 , BaseAction , getUserInformation , Exited
4 , 13/11/2008 17:15:57:036 , LoginAction , setMainMenu , Exited
4 , 13/11/2008 17:15:57:036 , LoginAction , getMainMenu , Exited
4 , 13/11/2008 17:16:00:698 , Validator , validateDisplayClaimApproval , Entered
4 , 13/11/2008 17:16:00:698 , Validator , validateDisplayClaimApproval() , *******************************
